Variable:,pr
Country:,France
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1981,80.17,42.55,68.27,21.99,55.60,86.44,67.90,67.46,70.67,128.61,103.67,115.21
1982,41.36,71.61,58.77,125.22,120.62,56.85,39.67,81.54,59.26,57.60,49.27,62.55
1983,114.14,58.77,64.15,21.37,132.12,52.57,31.22,64.01,103.72,88.82,115.64,66.33
1984,59.37,46.04,80.67,65.12,117.15,72.65,47.04,52.18,17.15,27.87,63.15,65.44
1985,117.20,58.84,70.20,119.45,67.90,43.75,32.52,66.00,79.07,75.68,57.31,80.59
1986,47.28,65.32,57.92,53.34,66.99,102.84,96.43,63.17,56.60,147.12,76.62,59.49
1987,134.40,76.23,98.09,71.34,114.85,64.88,71.95,40.27,56.19,95.48,40.52,49.92
1988,26.42,63.72,53.50,132.20,31.00,36.00,47.68,43.64,43.57,42.82,66.76,76.99
1989,54.23,97.45,16.55,72.88,54.38,77.72,33.76,41.79,45.04,117.71,75.71,75.75
1990,55.37,38.90,77.70,50.45,36.88,68.81,53.64,25.43,98.91,78.63,91.22,35.12
1991,25.60,34.25,58.74,55.34,64.50,108.87,66.89,88.82,69.53,124.33,101.66,54.31
1992,41.85,18.14,21.16,106.67,77.40,85.40,61.69,41.83,157.13,118.67,45.37,111.67
1993,105.71,86.42,34.08,87.33,91.68,60.59,50.91,57.85,148.32,83.57,75.74,72.97
1994,117.84,91.39,70.93,66.35,83.37,28.20,53.81,48.90,107.15,43.63,60.24,100.84
1995,84.66,72.42,37.96,41.67,82.87,39.68,62.23,80.27,56.78,55.73,159.28,83.59
1996,60.35,61.01,11.81,26.60,85.83,125.75,54.34,77.87,23.60,50.51,113.64,99.54
1997,83.13,18.82,33.58,143.48,51.27,54.81,42.93,36.13,119.38,107.27,55.17,66.14
1998,86.14,61.37,63.95,84.95,81.68,58.51,56.49,71.88,123.38,92.95,77.36,129.07
1999,23.92,66.94,46.04,101.28,78.40,56.46,99.87,53.40,68.17,131.03,141.30,88.13
2000,102.81,45.85,137.20,91.28,62.06,46.05,99.71,57.14,74.28,86.02,54.14,36.99
2001,39.43,85.01,50.65,37.37,106.25,64.86,72.46,92.66,64.11,94.08,145.75,91.31
2002,77.49,42.41,28.82,51.06,61.41,45.70,47.14,40.44,53.58,107.16,84.13,82.92
2003,118.07,37.69,48.67,69.30,53.97,30.01,54.72,108.33,30.93,125.32,44.54,64.71
2004,41.13,36.68,40.14,90.63,63.14,43.39,51.02,42.15,62.46,74.57,70.42,58.88
2005,51.42,54.14,105.09,44.30,77.77,33.10,58.38,83.39,89.75,81.46,67.31,69.66
2006,54.69,83.46,71.31,34.85,120.42,97.22,79.96,88.09,42.97,38.58,58.29,59.87
2007,81.54,36.82,82.22,92.57,106.40,63.26,65.25,74.73,71.83,97.35,89.03,76.07
2008,72.16,55.36,45.39,84.63,55.98,75.53,57.77,36.17,49.77,54.81,108.36,103.95
2009,61.54,74.81,64.38,31.27,78.29,82.75,43.26,64.59,68.54,77.77,101.67,85.90
2010,50.55,41.98,51.81,20.91,34.20,71.18,94.01,73.23,44.93,49.92,66.87,121.84
2011,52.97,11.11,26.48,116.95,79.80,84.35,65.91,43.76,65.48,120.59,86.20,110.13
2012,76.06,60.11,86.37,81.81,117.82,61.76,67.78,43.35,69.26,96.89,107.51,73.89
2013,110.79,100.01,36.56,48.95,73.96,55.88,108.46,87.97,45.97,74.07,126.91,56.73
2014,78.57,65.71,54.65,56.25,51.40,60.92,30.78,90.10,77.19,57.59,59.34,24.59
2015,105.31,94.59,73.94,73.48,105.22,85.81,34.04,25.38,40.41,62.01,97.65,19.54
2016,44.07,60.08,75.58,33.06,77.85,66.89,52.47,51.95,65.66,28.98,67.81,103.80
2017,124.93,54.40,101.03,74.59,87.40,63.99,50.95,47.18,26.40,77.86,86.58,82.84
2018,52.08,33.41,42.59,69.64,60.20,66.95,42.07,43.32,49.14,125.60,144.69,103.42
2019,53.99,69.46,74.62,47.92,65.28,91.33,18.08,61.56,59.02,111.78,33.65,121.46
2020,,,,,,,,,,,,
