Variable:,pr
Country:,Brazil
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,263.02,216.13,222.08,192.10,151.87,81.53,63.20,57.41,76.49,117.48,146.77,224.57
2002,225.06,226.01,228.40,174.38,135.95,85.75,60.66,59.75,81.32,107.89,152.98,171.64
2003,266.75,263.01,247.00,174.97,133.77,77.71,75.31,52.35,60.96,117.73,145.69,183.12
2004,220.28,226.42,264.61,186.45,154.58,75.47,52.50,54.46,73.96,116.36,143.01,230.11
2005,212.99,228.50,258.02,210.76,148.50,80.55,62.18,49.95,74.80,128.39,173.64,204.12
2006,212.10,239.55,216.56,186.50,127.76,70.76,68.55,54.41,55.30,113.54,158.54,208.69
2007,256.10,232.07,266.60,201.93,136.99,79.15,59.26,55.70,75.41,116.05,157.33,223.52
2008,239.35,233.80,251.41,206.04,147.13,96.24,74.40,59.16,79.72,148.42,145.43,221.49
2009,238.75,209.53,235.26,202.49,133.39,76.59,67.37,44.94,64.12,117.28,160.10,210.18
2010,242.01,245.64,265.39,200.21,141.36,74.23,63.81,54.95,59.72,135.20,165.05,188.74
2011,236.58,230.36,227.70,172.52,119.02,77.70,64.31,45.94,65.46,97.63,159.31,178.74
2012,226.74,221.65,240.82,179.67,140.29,88.54,70.51,61.42,73.21,118.07,168.09,208.92
2013,204.69,224.14,255.12,192.97,132.61,82.02,67.44,51.79,72.09,105.61,166.43,190.77
2014,196.93,201.52,244.55,193.72,145.15,74.01,74.33,48.01,61.29,96.00,131.27,154.92
2015,242.36,193.81,208.26,158.54,116.04,72.87,56.33,53.07,66.62,123.90,133.71,185.37
2016,201.23,217.42,223.55,172.67,122.27,72.71,48.53,52.50,65.85,104.52,153.72,194.69
2017,211.72,231.71,219.99,199.08,118.72,67.73,62.57,56.21,79.47,127.03,174.47,215.68
2018,201.63,207.53,229.97,184.65,143.95,77.12,64.92,47.52,61.04,112.06,152.83,179.00
2019,234.45,210.35,224.45,183.64,123.64,87.60,55.80,49.77,60.13,109.28,160.17,179.98
2020,,,,,,,,,,,,
